woonplaats;gemeente;provincie;regio
Aadorp;Almelo;Overijssel;Oost-Nederland
Aagtekerke;Veere;Zeeland;West-Nederland
Aalden;Coevorden;Drenthe;Noord-Nederland
Aalsmeer;Aalsmeer;Noord-Holland;West-Nederland
Aalsmeerderbrug;Haarlemmermeer;Noord-Holland;West-Nederland
Aalst;Zaltbommel;Gelderland;Oost-Nederland
Aalsum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Aalten;Aalten;Gelderland;Oost-Nederland
Ter Aar;Nieuwkoop;Zuid-Holland;West-Nederland
Ter Aard;Assen;Drenthe;Noord-Nederland
Aardenburg;Sluis;Zeeland;West-Nederland
Aarlanderveen;AlphenaandenRijn;Zuid-Holland;West-Nederland
Aarle-Rixtel;Laarbeek;Noord-Brabant;Zuid-Nederland
Aartswoud;Opmeer;Noord-Holland;West-Nederland
Abbega;Súdwest-Fryslân;Fryslân;Noord-Nederland
Abbekerk;Medemblik;Noord-Holland;West-Nederland
Abbenbroek;Nissewaard;Zuid-Holland;West-Nederland
Abbenes;Haarlemmermeer;Noord-Holland;West-Nederland
Abcoude;DeRondeVenen;Utrecht;West-Nederland
Achlum;Waadhoeke;Fryslân;Noord-Nederland
Achterveld;Barneveld;Gelderland;Oost-Nederland
Achterveld;Leusden;Utrecht;West-Nederland
Achthuizen;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Achtmaal;Zundert;Noord-Brabant;Zuid-Nederland
Acquoy;WestBetuwe;Gelderland;Oost-Nederland
Adorp;HetHogeland;Groningen;Noord-Nederland
Aduard;Westerkwartier;Groningen;Noord-Nederland
Aerdenhout;Bloemendaal;Noord-Holland;West-Nederland
Aerdt;Zevenaar;Gelderland;Oost-Nederland
Afferden;Druten;Gelderland;Oost-Nederland
Afferden L;Bergen(L.);Limburg;Zuid-Nederland
Agelo;Dinkelland;Overijssel;Oost-Nederland
Akersloot;Castricum;Noord-Holland;West-Nederland
Akkrum;Heerenveen;Fryslân;Noord-Nederland
Akmarijp;DeFryskeMarren;Fryslân;Noord-Nederland
Albergen;Tubbergen;Overijssel;Oost-Nederland
Alblasserdam;Alblasserdam;Zuid-Holland;West-Nederland
Alde Leie;Leeuwarden;Fryslân;Noord-Nederland
Aldeboarn;Heerenveen;Fryslân;Noord-Nederland
Aldtsjerk;Tytsjerksteradiel;Fryslân;Noord-Nederland
Alem;Maasdriel;Gelderland;Oost-Nederland
Alkmaar;Alkmaar;Noord-Holland;West-Nederland
Allingawier;Súdwest-Fryslân;Fryslân;Noord-Nederland
Almelo;Almelo;Overijssel;Oost-Nederland
Almen;Lochem;Gelderland;Oost-Nederland
Almere;Almere;Flevoland;Oost-Nederland
Almkerk;Altena;Noord-Brabant;Zuid-Nederland
Alphen;WestMaasenWaal;Gelderland;Oost-Nederland
Alphen;Alphen-Chaam;Noord-Brabant;Zuid-Nederland
Alphen aan den Rijn;AlphenaandenRijn;Zuid-Holland;West-Nederland
